Sentence,Originality,Fluency,Elaboration,Emotion,Creativity,Attractiveness,Ngram,Lexical_Idea,Novelty,Sum_Objective,Sum_TTCT_Metrics
امید، چون زمستانی سرد، آرزوی بهاری گرم و شاداب است که در دل هر آدمی، روشنایی امید را به اشتراک می‌گذارد.,1,3,3,3,2,2,31,11,0.05,7.48,7
امید، چون به دل ما نوری فراگرفته است که در تاریکی‌های زندگی برای ما راهنمایی می‌کند و آرامشی آرام درونمان را نوید می‌دهد.,1,2,3,2,1,1,23,9,0.04,6.48,6
امید، چشمان باز برای فردایی بهتر و روشن‌تر، نفسی تازه از عمق دل به زندگی می‌بخشد.,1,2,2,1,1,1,23,8,0.02,5.25,5
در هر شب تاریک و دور، نور امید به دل ما نشانه‌ی راهی است که به سوی روشنی و آینده‌ی بهتر ما را هدایت می‌کند.,1,1,3,2,1,1,21,8,0.02,5.51,5
رفاقت، همچون یک باغ پر از گل‌های زیباست که در هر فصل، زیبایی و شادابی خود را به ارمغان می‌آورد.,2,1,3,2,2,1,21,7,0.01,6.42,6
رفاقت، همچون نقشه‌ای زیبا و پررنگ، آرامش و آگاهی را در افق دوستی‌ها رقم می‌زند.,2,1,2,2,1,1,23,7,0.04,5.22,5
رفاقت، همان چیزی است که میان دو نفر به شکوفایی روح و قلب وجودی معدود راه گشاست که پر از عشق و صمیمیت است.,3,2,3,1,2,2,21,10,0.1,8.23,8
رفاقت، همچون یک باغ پر از گل‌های رنگارنگ است که در زمان خوش بار میوه‌های شادی و در روزهای سخت، سایه‌ی امید را به ما می‌اندازد.,2,2,3,2,1,3,29,9,0.04,7.2,7
رفاقت، همچون کلیدی است که در قفل دل هر فردی باز می‌کند و به او احساس توجه، دوستی و حمایت می‌دهد.,2,2,3,2,3,3,19,8,0.03,7.19,7
رفاقت، همچون باغی است که در آن گل‌های دوستی و محبت به فصل‌های مختلف زندگی ما می‌شکفد.,2,1,2,1,1,1,19,6,0.02,5.72,5
رفاقت، همچون نغمه‌ای شیرین و آرامش‌بخش، زندگی را به یک سفر زیبا و پرمعنا تبدیل می‌کند.,2,2,3,2,2,2,19,6,0.01,7.45,7
رفاقت، گلی است که در دل هر باغی می‌روید و ارزش زیبایی آن برتر از هر محبتی است.,3,1,2,2,1,1,19,8,0.04,6.39,6
رفاقت، چون نقاشی‌ای زیباست که هر خط و هر رنگی آن، زیبایی کلی آن را تکمیل می‌کند و به آن دل می‌بندد.,2,1,2,2,2,2,21,7,0.02,5.18,5
رفاقت، آن گلی که در باغ دل هر فرد می‌روید و با شکوه‌ترین رنگ‌ها و عطرهایی از مهربانی و وفاداری می‌شکفد.,2,1,3,2,1,1,23,7,0.03,6.16,6
رفاقت، همچون قلعه‌ای ساخته از خیوط دوستی، از پرچم‌های رنگارنگ یک دونگل آرامش بر سرانجام زندگی ما ماندگار می‌شود.,3,2,2,1,2,1,27,10,0.31,7.47,7
رفاقت، آن گلخانه‌ای است که در آن دوستی به چوب سبزی تبدیل می‌شود و از هر فصلی با رنگ و بوی خودش گلهای زیباتری می‌رویند.,2,2,3,2,2,2,23,9,0.04,7.3,7
رفاقت، آن گلی است که در باغ زندگی ما می‌رقصد و انگیزه می‌آفریند تا نور خوشبختی را با هم به اشتراک بگذاریم.,2,2,3,2,2,2,23,9,0.03,7.32,7
رفاقت، همچون نقشه‌ای نرم و زیباست که در طول سال‌ها توسط نخبگان صمیمیت و صداقت به دقت بافته شده است.,3,1,3,1,2,2,23,8,0.05,7.43,7
رفاقت، همچون یک باغ پر از گل‌های رنگارنگ است که در زمینهای خشک و سنگین دل ما می‌روید و شادی و آرامش را در دل ما پیدا می‌کند.,2,2,3,2,2,1,25,9,0.03,7.18,7
رفاقت، همچون رنگین کمانی است که در آسمان دوستی، به روشنی زندگی را رنگارنگ می‌کند.,3,2,2,2,2,2,19,8,0.03,7.37,7
رفاقت، آن موجی است که در دریای تنهایی انسان، کشتی زندگی را به سوی بندر آرامش و شادمانی هدایت می‌کند.,3,2,3,3,2,2,25,11,0.05,8.26,8
رفاقت، همچون یک برگ درخت، در طول زمان رشد می‌کند و تا جایی که بر اساس اصول عشق و احترام آب می‌خورد، درخشش گلهایش پدرام‌ناپذیر است.,3,2,3,2,2,2,31,11,0.04,8.2,8
رفاقت، همچون بندی نامرئی است که دو دل را به هم پیوند می‌دهد و زمانی که دستانشان به هم می‌رسد، قلب‌هایشان نیز به هم می‌نگرد.,3,2,3,2,1,2,19,6,0.01,8.35,8
رفاقت نوری است که در تاریکی هر دلی را روشن می‌کند.,2,1,1,1,1,1,9,5,0.04,4.22,4
دلم به دنیا دلتنگی می‌کند، همان‌طور که گل به رویای بهار دلتنگ است.,3,2,1,1,2,3,17,7,0.04,6.4,6
در هوای پر از بوی یاس، خاطرات دور دستانه مرا به دلتنگی می‌کشانند.,2,2,2,1,2,1,17,7,0.06,6.26,6
در هوای پر از عطر یاس، شرف دلتنگی بر دلم نشست و من با غربت دیدار تو، در آغوش ستارگان گم شدم.,3,2,3,2,2,2,27,12,0.1,8.21,8
در هجوم تنهایی، دلتنگی به شکل بارانی بی‌وقفه می‌بارد و در خزان دلم را به غرقاب غم فرو می‌برد.,3,2,3,3,3,2,27,10,0.05,8.21,8
دلم به آرامش درختان پاییزی تنها می‌پرد و خسته از دمیدن بادهای خزان تازه می‌شود.,2,1,2,1,1,1,19,9,0.07,5.32,5
دلم برای آن روزهای پر از نغمه‌های شاد و خاطره‌های تلخ تنگ شده است.,1,1,2,2,1,1,13,5,0.02,4.42,4
در هوای سرد پاییزی، دلم به خاطر تماشای برگ‌های زرد و آویزان درختان، از دلتنگی بی‌پایان می‌لرزد.,2,2,2,2,2,1,29,10,0.02,6.21,6
دلم برای تو، همچون نغمه‌ای سرگردان در دهات خاموش و تنها، بی‌وقفه می‌تپد.,2,1,2,2,2,2,17,4,0.03,5.21,5
دلم هر شب به یاد خاطره‌های دور دست از دست رفته، بر آتشی که در دلم می‌سوزد افتاده است.,1,1,2,2,1,2,23,6,0.03,4.39,4
دلتنگی، آوای پریشانی و قطره‌های دریای نومیدی است که در دل هر آدمی گوش می‌دهد.,3,2,2,3,2,1,19,8,0.03,7.17,7
دلم در دوران غروب دلتنگی، با لرزش بر روی بالای لبخندم آویخته است.,3,1,1,1,1,1,17,7,0.24,5.22,5
دلم برای صدای خنده‌های گمشده تو، دلتنگی زلال دریاهای تو، و رنگارنگی چشمان تو می‌سوزد.,2,3,3,2,2,2,23,8,0.09,8.23,8
دلم در هوای پر از یاس، به یاد تو می‌افتد و نوای عشق، تنها در خیال زیبای تو می‌پیچد.,3,2,2,2,2,2,23,8,0.02,7.27,7
دلتنگی، آوای خاموشی و نوایی بی‌همتاست که در خلوت دل، با زبان بی‌صدا خویش، آواز مراقبت ناگفتهٔ دل را می‌نوازد.,3,3,3,2,2,2,33,10,0.04,9.37,9
دلم برای آن روزهای ناب که در کنار تو بودم، دلتنگی به شدت درونم را محکم فرا گرفته است.,2,1,2,1,1,1,19,9,0.05,5.2,5
در هوای پر از بوی یاس، دلتنگی مانند نغمه‌های ترانه‌هایی دور و دور بی‌پایان به گوشان می‌رسد.,2,1,2,1,1,1,17,5,0.04,5.2,5
دلم برای لمس نرم پای تو در اتاق خلوت دلتنگ شعر می‌خواند.,3,2,1,2,2,2,17,8,0.16,6.35,6
دلم به یاد آن روزهای افتاده بر دلتنگی، مثل برگهای پاییزی رقصان در باد، لرزان و غمگین می‌لرزد.,2,2,2,1,2,1,27,11,0.07,6.4,6
دلم با شوق و شور برای لحظاتی که رویای دیدارت را در دلم پرورش می‌دهم، دلتنگی می‌کند.,2,1,2,2,1,2,21,8,0.02,5.29,5
دلم برای آن لحظه‌هایی که در آغوش تو با خنده‌های شیرینت نمایان شده، بی‌قرار است و به تنهایی دلتنگی می‌کنم.,1,1,3,2,2,2,19,6,0.03,5.35,5
در تاریکی‌های شب، ناامیدی می‌تابد به دلم مثل سایه‌های نامرئی که بر دیوار تاریک زمان پراکنده شده‌اند.,2,2,2,2,2,2,25,8,0.05,6.19,6
در تاریکی ناامیدی، نور امید همواره از دور می‌نگرد و منتظر است تا دلیلی برای بازگشت او پدید آید.,1,1,2,2,1,1,21,9,0.05,4.18,4
در پیشابرتر امید، ناگاه ناامیدی به مردابی تاریک و عمیق همچون سایه‌های بی‌رحم، غلبه کرده و دل روشنم را به خاموشی فرو برده است.,3,2,3,2,2,2,33,12,0.1,8.3,8
در گودال تاریک ناامیدی، بارانی از غصه‌ها بر روحم می‌بارد و ناامیدی مرا به شیوه‌ای ناگوار، در آغوش خود فرا می‌خواند.,3,3,3,3,2,3,31,9,0.03,9.26,9
پنجره‌ای باز کردم و در آن لحظه دیدم که ناامیدی با تمام قدرتش به دلم حمله می‌آورد.,3,2,2,3,3,3,15,6,0.02,7.19,7
در پس پرده‌ی تاریک ناامیدی، پرتوی از امید و ستاره‌ای از آرزو تابیده است.,1,2,2,3,1,1,17,6,0.05,5.17,5
در تاریکی تلاش برای روشنایی، نور ممکن است گم شود اما هرگز ناامیدی را به دل نگیر که خورشید همیشه پشت ابرها نهفته است.,1,2,3,1,1,1,25,11,0.08,6.32,6
در غمگین‌ترین روزها، ناامیدی می‌تواند به یک باد برود که مهمانی زیبایی را برای انسانی شجاع و با ایمان تداعی کند.,2,2,3,1,2,2,23,10,0.06,7.29,7
در غم ناامیدی، قلب من چون یک باغ خزان خزانه‌ی پژمرده و آرزوها دیگر، بارانی از اشک را بر برگ‌های خسته‌ام ریخت.,3,2,3,2,2,3,29,10,0.1,8.33,8
در سایه‌ی تاریکی ناامیدی، گلی در دل محکم سرخوشی زیباست که خود را بر آتش ناامیدی فدا می‌کند.,2,2,2,1,2,1,23,9,0.1,6.61,6
در هر نگاهی به آسمان تاریک، دلتنگی روحم، بارانی از ناامیدی را بر سر فرا می‌دهد.,2,2,2,2,2,2,21,9,0.15,6.22,6
از تیرگی شب، نور ستارگان نیز بی‌فایده به نظر می‌رسد، انگار نگاهی به آسمان هم دیگر ارزشی ندارد.,2,1,3,2,1,2,21,8,0.02,6.25,6
در میان تاریکی‌های شب، ناامیدی به شکل سایه‌های بلامرئی پیچیده و دشوار زندگی ما را به هم می‌ریزد.,2,2,2,1,1,2,21,7,0.03,6.24,6
در تاریکی ناامیدی، نوری روشن و امیدی پنهان است که در انتهای خود را نشان می‌دهد.,1,2,2,1,1,1,17,8,0.03,5.49,5
به گمان نمی‌رسید که آسمان چنین تاریک و غم‌آلودی داشته باشد، اما در اعماق دلش، هر ذره‌ی نوری که چشمانش به تلاطم افتاده بود، افتخار و,2,2,3,2,2,2,29,9,0.03,7.3,7
در زندگی، ناامیدی همچون ابری تاریک، زمین را پوشانده ولی هیچ‌وقت نمی‌تواند خورشید روشن را از دریچه‌های قلب پاکتان غیبت کند.,2,2,3,2,2,2,31,11,0.05,7.4,7
در تاریکی زمستانی دلم برای نور خورشید تنگ شده است، گرچه امید به روشنایی روزی دیگر نیز همواره در دلم زنده است.,2,1,2,2,2,3,25,11,0.03,5.36,5
در سایه‌ی ناامیدی، گلهای امید خمیده و دل‌ها شکسته می‌لرزند.,3,2,1,1,1,1,17,5,0.07,6.24,6
در گودال تاریک ناامیدی، نور امید راهی برای رهایی از غرق شدن در غم و اندوه نشان نمی‌دهد.,2,1,2,2,2,1,25,11,0.03,5.18,5
در گرفتاری ناامیدی، باران پوچ گریسته و برگ‌های خزانه‌ی درختان تازه‌ی ناامیدی را رقصانیدند.,3,2,3,2,3,2,23,7,0.19,8.22,8
