Sentence,Originality,Fluency,Elaboration,Emotion,Creativity,Attractiveness,Ngram,Lexical_Idea,Novelty,CLiN,Sum_TTCT_Metrics
هر لحظه کنار تو، جهانی پر از احساسات است و شیرینی آن بی اندازه ست.,1,1,2,1,1,1,13,5,0.06,0.24,4
همه بر سر زبانند و تو در میان جانی,3,2,2,3,2,2,3,3,0.14,0.2,7
مرحبا ای پیک مشتاقان بده پیغام دوست تا کنم جان از سر رغبت فدای نام دوست واله و شیداست دایم همچو بلبل در قفس طوطی طبعم ز عشق شکر و بادام دوست,3,3,3,2,3,3,47,22,0.57,1.26,9
تویی آن جواب تمام سوالاتم، آن تکمیل حلقه های کسری زندگیم و آن تمامیتی که دنیای من را همراه خود میبری.,2,2,3,1,2,1,23,9,0.29,0.61,7
تویی آن کاخ عشق که در آن قرار است تا ابد ساکن شویم. بیا، دستانمان را به هم دهیم و همیشه در این قصر عاشقانه زندگی کنیم.,1,1,3,2,1,1,29,13,0.04,0.46,5
در اعماق دلم، نغمه‌های دلتنگی بر می‌آید و احساس تنهاییم را بدست می‌دهد. در این لحظات ساکت، به آرزوی دیدارت فکر می‌کنم و خاطرات خوبمان را در آغوش دلتنگی می‌نگارم.,1,2,3,2,1,2,37,13,0.02,0.52,6
زمانی که در کنار تو بودم، دنیا به رنگ و بوی عشق پوشیده می‌شد. الان که تو را ندارم، هر لحظه به خاطر تو دلتنگی را در سینه‌ام حمل می‌کنم.,1,2,3,2,1,1,33,12,0.01,0.46,6
از پیشت که برگشتم حس گاو نری زخمی با من بود وقتی از میدان به سوی مرتع خود می دود با نیزه های مرصعت در پشتم,3,2,3,1,2,2,21,10,0.49,0.8,8
دلتنگ که می شوی دیگر انتظار معنا ندارد یک نگاه کمی نامهربان یک واژه ی کمی دور از انتظار یک لحظه فاصله میشکند دیوار فولادی بغضت را,2,2,3,1,2,2,25,9,0.35,0.69,7
شب‌ها به گوش تک‌تک نفس‌هایم بعث شور و هیجان عشق می‌شوند. دلتنگی مرا در هر لحظه می‌انگیزد تا تمام احساسات عمیقم را به تو برسانم. در زمانی که تو را در کنارم نمی‌بینم، هر شب امیدوارم که رویاها بتوانند مرا به رؤیایی حقیقی تبدیل کنند.,1,3,3,2,2,1,55,19,0.03,0.77,7
من سردم است، من سردم است و انگار هیچ وقت گرم نخواهم شد,1,1,2,1,1,1,11,4,0.01,0.16,4
یادت پرچم صلحیست، میان ِ شورش ِ این همه فکر,3,2,1,2,2,2,7,4,0.49,0.6,6
دلم از نبودنت پر است هر روز خاطراتم را الک میکنم و جز دلتنگی تو چیزی برایم نمیماند نه تو آمدی نه فراموشی خیالی نیست من کوه میشوم و پای نبودن هایت میمانم اما ای کاش میدانستی بی تو تمام لحظاتم رنگ پاییزند,2,3,3,2,3,2,43,17,0.11,0.71,8
از عمیق‌ترین جای قلبم، بهت تازگی و رنگی زنده از عشقم می‌فرستم. امیدوارم بشنوی صدای دلتنگی‌ها و شعله‌های حسرت برای دیدارمان.,1,3,3,2,2,2,33,11,0.06,0.5,7
در این لحظه‌های تاریک و ساکت، دلم به شدت تنگت شده است، عزیزم. یاد تو هر ثانیه در دلم تپشی جا می‌ذارد و حس دلتنگی مرا فرا می‌گیرد.,2,1,3,2,1,2,37,13,0.03,0.53,6
دلتنگ مباش، من قلبم را سایه بان دلت کردم و چشمانم را در انتظار دیدنت,2,2,2,2,3,3,15,7,0.13,0.35,6
هر ذره از وجودم شعر می شود بی تاب خواستن تو انتظار و شوق وصال تو آری می خواهم شاعر شوم می خواهم هر مصرعم آینه ای باشد صاف در انعکاس مهربانی تو و به باغ احساس و حرف های دلم هر یک دفتر شعری باشد که در آن غزل غزل تو را بسرایم مهربانم,2,3,3,3,3,3,53,22,0.23,0.98,8
در این شب تاریک و ساکت، قلبم به خاطر تو طنین می‌کند. دلم برای تو واقعاً تنگ شده است، گل من. روزهای بی تو به خلاف سابق، خالی از لبخند و شادی است.,1,3,3,2,2,2,41,16,0.08,0.65,7
شعرهایی که برایت می نویسم چاپ نمیکنم نمی فروشم میگذارم در کوزه شرابی شود چند ساله به وقت دلتنگی بنوشیشان,3,2,3,3,3,2,21,8,0.31,0.6,8
در این شب آرام، شعرهای دلتنگی بر زبانم نوا می‌گذارند و احساسات ناگفته من در پرده اشکان می‌روند. دوست دارم بار دیگر در آغوش عشقت باشم و به درون چشمانت، روزگاری بی‌پایان را دریابم.,2,2,3,2,1,1,47,18,0.07,0.72,7
دلتنگ که می شوی چشم هایت را ببند مثلِ یک عکسِ فوری، فوری ظاهر می شوم,3,2,2,1,2,2,19,7,0.35,0.61,7
نمی دانم چرا امشب واژه هایم خیس شده اند مثل آسمانی که امشب می بارد و اینک باران بر لبه ی پنجره ی احساسم می نشیند و چشمانم را نوازش می دهد تا شاید از لحظه های دلتنگی گذر کنم,2,3,3,3,3,2,37,12,0.19,0.68,8
در شب‌های تاریک و ساکت، روحم به چشمانت می‌پردازد و دلتنگی‌ها بر قلبم اساره می‌شوند. در این لحظات، عشقی رمانتیک در دلم شعله ور می‌شود و خاطراتمان را به تصویر می‌کشد.,2,3,3,2,2,1,39,12,0.02,0.53,8
دلتنگی خیابان شلوغی است که تو در میانه اش ایستاده باشی ببینی می آیند ببینی می روند و تو همچنان ایستاده باشی,3,1,2,2,3,3,17,4,0.19,0.4,6
در این ییلاق شبانه، دلم به شدت تنگ توست، آرزوی دیدارم را در هر نفسم می‌پیچانم. دلتنگیم در قلبم مانده و رنگ و بوی عشق تو را در اطرافم به یاد می‌آورد.,2,3,3,2,2,2,43,17,0.06,0.66,8
دل صدچاک ما را تیغ ترحم بدرید دل ما را به همان قیمت ارزان بخرید دل من گرچه شکسته ، گوهری ناب شده عشق در قلب تو آن تحفه ی نایاب شده,3,3,3,2,3,2,35,15,0.58,1.08,9
می شنوی ؟ دیگر صدای نفسم نمی آید به دار کشیده مرا بغض نبودنت,3,2,2,2,2,2,15,6,0.58,0.79,7
پشت این بغض، ‌بیدی نشسته، که خیال میکرد با این بادها نمیلرزه,2,2,2,1,2,2,13,6,0.22,0.41,6
کاش می شد برگردی و ببینی چشمانم چگونه تقاص تمام بیخیالی هایت را پس می دهند,1,1,2,2,1,1,11,7,0.2,0.38,4
بدون آنکه ماری در کار باشد مزه ی زهر مار  را میچشم وقتی نیستی,3,1,2,1,2,1,11,5,0.51,0.67,6
اگه میدونستی قطره بارون وقت دورشدن از ابرا چه حسی داشت اگرمیدونستی یه بندر وقت رفتن کشتی ها چه تنها میشه، اگرمیدونستی درخت کاج وقت پرکشیدن پرنده هاچه غمگین میشه، اگرمیدونستی رفتنت چه آتشی به جونم کشید اون وقت این قدرراحت نمی‌گفتی خدانگهدار,2,3,3,2,2,2,66,25,0.09,1,8
در جهان غصه کوتاهی دیوار مخور حسرت کاخ رفیق و زر بسیار مخور گردش چرخ نگردد به مراد دل کَس غم بی مهری این مردم بی عار مخور,3,1,3,2,3,3,39,18,0.6,1.17,7
نه بهار با هیچ اردیبهشتی نه تابستان با هیچ شهریوری و نه زمستان با هیچ اسفندی اندازه پاییز به مذاق خیـابانها خوش نیامد پائیز مهری داشت که بر دل هر خیابان می نشست,3,2,3,2,3,3,31,15,0.27,0.73,8
دلم روی گاز است بوی سوختنی می آید هود را روشن کن,2,1,2,2,2,2,11,7,0.22,0.4,5
شکستگی رفع بلاست ولی باور نمی کند دلم,2,1,1,1,1,1,9,5,0.55,0.69,4
از این تکرار ساعتها از این بیهوده بودنها از این بی تاب ماندنها از این تردیدها نیرنگها شکها خیانتها از این رنگین کمان سرد آدمها و از این مرگ باورها و رویاها پریشانم دلم پرواز میخواهد,2,3,3,3,2,2,37,17,0.22,0.76,8
فکر کن عاشـق ‌باشی او رفته باشد پاییـز باشد بـاران هم ببارد ادامه اش را ول کن گریه امانـم نمی‌دهد,1,2,2,2,1,1,21,8,0.34,0.63,5
دلم با تو بود ، تو ولی سرد شدی ، آنقدر سرد که به ناچار گرمایم را به تو بخشیدم و تو به من تهمت سرد شدن زدی,3,2,2,2,3,3,23,9,0.05,0.37,7
یاد آن روزی که یاری داشتیم این چنین خوار نبودیم ، اعتباری داشتیم ای که ما را در زمستان دیده ای با پشت خم این زمستان را نبین ، ما هم بهاری داشتیم,2,2,3,2,2,2,35,12,0.33,0.8,7
همه غمگین بودند؛ زیرا سنگی در سینه‌ها می‌تپید.,2,1,1,2,2,2,9,2,0.04,0.15,4
شکستن دل ، به شکستن استخوان دنده می‌ماند؛ از بیرون همه‌چیز روبه‌راه است، اما هر نفس، درد ا‌ست که می‌کشی,2,2,3,2,2,2,29,6,0.06,0.41,7
فکر کنم به بوی عطر تو حساسیت دارم همین که در ذهنم می پیچد ، از چشم اشک می آید,2,2,2,1,2,2,15,7,0.26,0.48,6
بی پناهی یعنی زیر آوار کسی بمانی که قرار بود تکیه گاهت باشد,3,2,2,3,3,3,9,6,0.52,0.67,7
من لیمو شیرین زندگی تو بودم ؛ تموم شیرینی های زندگیمو به تو دادم اماچه زود تلخ شدم و چه ساده منو دور انداختی,2,2,3,3,2,3,29,14,0.29,0.72,7
اگه نیمه گمشدتو پیدا نکردی زیاد مهم نیست درد واقعی از اونجایی شروع میشه که نیمه پیدا شدتو گم کنی,2,1,2,2,2,2,17,9,0.05,0.31,5
همیشه یادت باشد بارون بند میاد شب تموم میشه درد و رنج هم محو میشه اما امید هیچ‌وقت اونقدر گم نمیشه که نشه دوباره پیداش کرد,2,2,3,2,1,1,33,16,0.07,0.56,7
هر صبح قاصدک های امید را رهسپار آسمان آرزوهایت کن بی تردید هر یک زمانی که باید به مقصد خواهند رسید,2,1,2,2,2,2,19,8,0.25,0.52,5
امید دارویی است كه شفا نمی دهد اما درد را قابل تحمل می كند,2,1,2,2,2,1,9,4,0.58,0.71,5
اتفاق اول بايد در درون من رخ دهد تا تكرار آن را در دنياي بيرون ببينیم پس من می توانم بهترین باشم,1,1,2,1,1,1,11,6,0.17,0.34,4
امید مانند ستونی است که جهان را سرپا نگه می‌دارد. امید، رؤیای انسان بیدار است.,1,2,2,2,2,2,23,8,0.03,0.34,5
امید می‌تواند نیرویی قدرتمند باشد. شاید هیچ جادوی واقعی در آن وجود نداشته باشد، اما وقتی بدانید که به چه چیزی امید دارید و آن را مانند یک چراغ در درون خود نگه دارید، می‌توانید همه چیز را رقم بزنید تقریباً مثل جادو,1,2,3,2,2,1,37,13,0.02,0.52,6
امید یکی از چشمه های اصلی است که بشر را در حرکت نگه می دارد,1,1,1,1,1,1,11,5,0.11,0.27,3
یادمان باشد که کوچکترین امید دادن به کسی، شاید بزرگترین معجزه ها را ایجاد کند پس مهربانی رادریغ نکنیم,1,1,2,2,1,2,17,8,0.21,0.46,4
زندگی باغی ست که باعشق باقی ست مشغول دل باش نه دل مشغول بیشتر غصه های ما ازقصه های خیالی ماست اگر فرهاد باشی همه چیز شیرین ست,3,3,3,2,2,3,33,13,0.34,0.8,9
زندگی یک پژواک است هر چه می فرستید باز میگردد هر چه می دهید می گیرید هر چه دیگران دارند در شما وجود دارد پس همیشه خوبی کنید,2,2,3,1,2,1,9,2,0.15,0.26,7
امید چیز خوبیه، شاید بشه گفت بهترینِ چیزهاست و چیزهای خوب هیچ‌وقت نمی‌میرن.,1,1,1,1,1,1,15,5,0.03,0.23,3
شادی و غم هردو به موازات هم می روند. زمانی که یکی استراحت می کند دیگری جبران می کند,2,1,2,1,2,2,15,7,0.25,0.47,5
هر اتفاقی هم که بیفتد حواسمان باشد دو طناب اصلی زندگی را رها نکنیم و آن دو طناب ایمان و امید است,2,1,2,1,1,1,19,10,0.06,0.35,5
مالکیت آسمان را به نام کسانی نوشته‌اند که به زمین دل نبسته‌اند. همیشه چون امروز به سمت آسمان پیروزی و موفقیت گام بردار.,2,2,2,1,1,1,27,10,0.03,0.4,6
ایستادگی کن تا روشن بمانی شمع های افتاده خاموش می شوند,3,2,1,3,3,2,11,6,0.57,0.74,6
باد با چراغ خاموش کاری ندارد اگر در سختی هستی ، بدان که روشنی,3,2,2,2,3,3,15,8,0.42,0.65,7
هیچ شبی، پایان زندگی نیست از ورای هر شب، دوباره خورشید طلوع می کند و بشارت صبحی دیگر می دهد. این یعنی امید هرگز نمی میرد,1,1,3,2,1,2,27,11,0.25,0.63,5
درها برای کسانی گشوده می شوند که جسارت درزدن داشته باشند. جسارت داشته باش با امید با عشق بامحبت با تلاش در بزن حتما درها گشوده خواهند شد به سوی روشنایی,2,2,3,2,2,2,29,11,0.16,0.56,7
جاده ای که به امید ساخته می شود برای مسافر خوشایندتر از جاده ای است که در نا امیدی ساخته شده است، هر چند هر دو به یک مقصد می رسند,3,1,3,1,1,1,21,6,0.05,0.32,7
زندگی هدیه ايه که نباید حروم بشه شما نميدونيد برگه بعدی زندگیه چیه باید یاد بگیری روی تک تک روزاش حساب کنی,2,1,2,2,2,2,29,15,0.32,0.76,5
تنها گنجی که جستجو کردن آن به زحمتش می ارزد دوست واقعیست و تو بهترین گنجی,2,2,2,3,2,2,11,5,0.2,0.36,6
ما جام رفاقت با هر که نوش کنیم نامرد روزگاریم اگر او را فراموش کنیم,1,1,2,2,2,2,9,6,0.42,0.57,4
به سلامتی پرچم ایران که سه رنگه ، تخم مرغ که دو رنگه ، رفیق که یه رنگه,3,3,1,1,3,2,18,6,0.07,0.31,7
یاد یاران قدیم نروداز دلِ تنگ چون هوای چمن از یاد اسیرانِ قفس,2,2,2,2,2,3,17,8,0.56,0.81,6
نفس شروع زندگیست عشق قسمتی از زندگیست اما دوست خوب قلب زندگیست,2,3,2,2,2,1,13,6,0.09,0.28,7
رفیق خوب پزشک زندگیست تا آخر عمر مریضتم رفیق,3,1,1,2,2,2,11,6,0.54,0.71,5
داروها و دوستی ها هر دو مشکلات را حل میکنند با این تفاوت ک دوستی ها هیچ وقت تاریخ انقضا ، بها و اندازه ندارند,3,2,3,2,2,2,21,9,0.21,0.51,8
من از میان واژه‌های زلال دوستی را برگزیده‌ام، آن‌ جا که برف‌ های تنهایی آب می‌ شوند در صدای تابستانی یک دوست,2,2,3,3,2,2,19,7,0.11,0.37,7
در رفاقت رسم ما جان دادن است هر قدم را صد قدم پس دادن است هرکه بر ما تب کند جان می دهیم ناز او را هرچه باشد می خریم,2,2,3,3,3,2,23,9,0.17,0.49,7
یه رفیق خوب میشه که تحصیلات دانشگاهی نداشته باشه یه رفیق خوب میشه که موتور و اتومبیل نداشته باشه یه رفیق خوب میشه که پولدار نباشه و لباس‌های مارک نپوشه. اما یه رفیق خوب باید یه ذات مفید و یه قلب مهربون و با معرفت داشته باشه,2,2,3,1,1,2,52,18,0.02,0.72,7
در سکوت کوچه های این شهر یخ زده هنوز بوی خوش رفاقت به مشام می رسد,2,1,2,2,1,1,13,6,0.18,0.37,5
آنان که دوستی و محبت را به زندگی خود راه نمی‌دهند، به آن می مانند که طلوع خورشید را مانع شوند.,2,1,2,2,1,1,17,6,0.05,0.28,5
دوستی نه در ازدحام روز گم می شود نه در خلوت شب خفته یا بیدار یاد می دارمت,2,2,2,2,2,1,17,9,0.29,0.55,6
حکایت رفاقت حکایت سنگهای کنار ساحله اول یکی یکی جمع شون میکنی تو بغلت بعدش یکی یکی پرت شون میکنی تو آب اما بعضی وقتها یک سنگهای قیمتی گیرت میاد که هیچ وقت نمی تونی پرت شون کنی,3,2,3,3,2,2,41,14,0.23,0.78,8
خیالم راحته که اگه زمستون هرچقدرم سرد باشه، رفقایی مثل شما دارم که دمشون خیلی گرمه,3,2,3,2,3,2,21,11,0.12,0.44,8
دوستی مثل بالشته: وقتی خسته‌ای بهش تکیه می‌کنی وقتی خوشحالی بغلش می‌کنی وقتی غصه داری روش گریه می‌کنی پس بالشتتم رفیق,3,3,3,3,3,3,29,11,0.09,0.49,9
گلی دارم به دور از دیدگانم ولی مخفی میان قلب و جانم که گهگاهی کند یادی ز خاکش فدای آن رفیق و قلب پاکش,3,3,3,2,2,2,25,13,0.33,0.71,9
دوستی مثل یک کتابه، چند ثانیه طول می کشه که آتیش بگیره ولی سالها طول می کشه تا نوشته بشه,3,2,3,3,2,3,19,8,0.09,0.36,8
رفاقت مثل سیبیل می مونه به بعضی ها نمیاد,3,1,2,3,3,3,7,3,0.56,0.66,6
داستان زندگی هرکس به سان شعله چراغیست که روشنی اش از دوستان با وفاست,3,2,2,2,2,2,15,8,0.32,0.55,7
