Originality,Fluency,Elaboration,Creativity,Attractiveness,Emotion,Quality,Ngram,Novelty,Lexcial_idea,CLiN,Sum_TTCT_Metrics
2.6,1.8,2.2,2.2,1.8,1.8,0.7,13,0.010611962029345815,3,0.27,6.6
2.6,1.8,2,2,1.6,1.6,0.89,13,0.018297277980880353,3,0.28,6.4
2.2,2,2.2,1.6,1.2,1.8,0.79,13,0.006516751248286625,5,0.31,6.4
2.6,1.8,2,1.8,1.8,2,0.84,10,0.013796538081886545,3,0.23,6.4
2.6,2.4,2.6,2.2,1.8,2,0.69,13,0.02472573301287092,4,0.31,7.6
2.6,1.4,2.6,1.6,2,2,0.62,15,0.015210772881186042,4,0.37,6.6
2.4,2.2,2.6,1.8,2,2,0.75,10,0.005266887058117631,5,0.25,7.2
2.0,1.2,1.4,1,1.2,1.6,0.7,6,0.02564283604079883,1,0.13,4.2
2.6,1.8,1.8,2,2,1.6,0.59,10,0.030756451000159488,3,0.23,6
1.6,1.2,2,1.4,1.2,1.4,0.7,10,0.044718551307605346,0,0.21,4.8
2.6,2.2,2.6,2,1.8,1.8,0.79,14,0.06951219759429861,3,0.37,7.4
2.4,2,2.6,2.6,1.8,2.4,0.66,15,0.028872108219603818,3,0.33,7
2.4,1.6,1.8,1.8,1.4,1.6,0.57,11,0.06174659378717011,1,0.26,5.8
1.6,1.4,1.8,1.2,1.4,1.8,0.79,8,0.012280750908443425,2,0.16,4.8
2.0,1.4,2.2,1.4,1.6,1.4,0.65,15,0.021676358803118505,2,0.33,5.4
1.8,1.6,1.8,2,2,1.4,0.78,9,0.0223754449728966,2,0.21,5.2
1.8,1.6,2,1.4,1.8,1.8,0.68,11,0.018914104082201292,2,0.27,5.4
2.6,2.2,1.8,2,1.8,2.6,0.66,11,0.020314615895981932,3,0.24,6.6
2.2,1.2,1.8,1.4,1.4,1,0.66,10,0.1457488663776712,2,0.34,5.2
2.0,2.4,2.2,1.6,2,2,0.55,12,0.053652294973591315,3,0.31,6.6
2.6,1.8,2,1.6,1.6,2,0.78,12,0.013716866660775345,5,0.29,6.4
2.4,2.2,2.6,1.6,1.6,1.6,0.57,15,0.03842917204387551,4,0.41,7.2
1.6,1.4,1.6,1.2,1.4,1.6,0.69,11,0.027081538451300846,1,0.23,4.6
2.0,1.6,1.8,1.2,1.6,1.4,0.68,10,0.034145000929260434,1,0.21,5.4
2.8,2,1.8,2.2,2,2,0.81,10,0.1281671801601965,3,0.33,6.6
2.0,1.8,2.2,2,1.4,1.2,0.72,14,0.03567731734375968,3,0.34,6
2.0,1.2,1.8,1.2,1.8,1.8,0.83,11,0.012582675142224314,2,0.24,5
1.6,1.4,2.2,1.4,1.8,1.8,0.67,11,0.014430958220771384,1,0.21,5.2
1.8,2,2.2,1.6,2,1.8,0.79,14,0.022385661061891774,3,0.3,6.6
1.6,1.4,1.8,1.6,1.6,1.6,0.67,12,0.023784120878317327,1,0.24,4.8
2.8,2.6,3,2.4,1.6,1.8,0.69,17,0.047141341876633096,7,0.45,8
2.8,2.4,2.6,2,2.6,2.2,0.88,15,0.01321921531903481,4,0.36,7.8
2.8,1.6,2,2.8,2.4,2.2,0.72,9,0.012184267733118934,1,0.17,6.4
1.8,2,2,1,1.2,2.4,0.62,10,0.017878091265197564,4,0.23,5.8
2.2,2,2.8,1.2,1.6,1.4,0.78,14,0.05354089712945055,4,0.34,6.2
2.2,1.4,2.4,1.6,1.6,1,0.8,13,0.0386726859581616,2,0.29,6
2.2,1.6,2.8,2.2,2.4,2.4,0.6,15,0.05694428681391643,3,0.38,6.6
2.8,1.8,2,1.4,1.2,1,0.81,12,0.055956688838094217,4,0.33,6
2.8,1.6,1.6,1.6,1.8,2.2,0.67,11,0.06024276254777175,1,0.28,5
1.8,1.8,2.2,1.4,1.6,2,0.66,11,0.027596615690429382,2,0.26,5.8
2.2,1.6,1.8,1,1.4,1.8,0.74,12,0.014343485685503095,1,0.23,5.6
1.2,1.8,2,1.4,1.4,1.4,0.66,10,0.012569576904474739,4,0.22,5
1.8,1.2,2.4,1.6,1.4,1.8,0.74,14,0.016590761012090983,3,0.34,5.4
1.8,1.2,2.6,1.6,1.8,1.8,0.71,16,0.02510351153721194,3,0.37,5.6
2.0,1.4,2.2,1.4,2.2,1.4,0.82,13,0.022610390080048757,5,0.32,5
1.8,1.2,1.2,1.8,1,1.4,0.57,10,0.030705047587251,1,0.21,4.2
1.8,1.6,1.8,1.8,1.2,2,0.75,14,0.017208409220199603,3,0.3,5.2
2.8,2.2,2.6,2.6,2,1.8,0.5,12,0.13090402696371803,4,0.4,7.4
